INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Southbound Deerfoot Trail at Calfrobe Bridge SE,2 vehicle incident.,12/14/2016 10:18:17 AM,12/14/2016 10:24:36 AM,SE,-114.019560526145,51.0086802225644,"(51.0086802225644, -114.019560526145)",1
Heritage Meadows Way at 11 Street SE,2 vehicle incident.,12/14/2016 10:21:37 AM,12/14/2016 10:24:36 AM,SE,-114.042393172684,50.9839672991501,"(50.9839672991501, -114.042393172684)",1
Eastbound Glenmore Trail approaching 14 Street SW,2 vehicle incident.,12/14/2016 11:52:45 AM,12/14/2016 11:55:17 AM,SW,-114.099311693033,50.9952104199385,"(50.9952104199385, -114.099311693033)",1
Northbound Macleod Trail at 145 Avenue SE,2 vehicle incident.,12/14/2016 12:21:31 PM,12/14/2016 12:24:53 PM,SE,-114.071685360171,50.923610257988,"(50.923610257988, -114.071685360171)",1
Northbound Macleod Trail approaching Lake Fraser Gate SE,2 vehicle incident.,12/14/2016 12:39:01 PM,12/14/2016 12:54:18 PM,SE,-114.068924440289,50.9378677611553,"(50.9378677611553, -114.068924440289)",1
Eastbound Glenmore Trail at Crowchild Trail SW,2 vehicle incident.,12/14/2016 01:51:55 PM,12/14/2016 01:53:16 PM,SW,-114.121071289426,51.0009971347515,"(51.0009971347515, -114.121071289426)",1
Southbound 52 Street at 16 Avenue NE,Multi vehicle incident.,12/14/2016 01:46:30 PM,12/14/2016 01:53:16 PM,NE,-113.963310837195,51.0671044015668,"(51.0671044015668, -113.963310837195)",1
Southbound Deerfoot Trail at Glenmore Trail SE,2 vehicle incident.,12/14/2016 02:17:06 PM,12/14/2016 02:17:58 PM,SE,-114.039173086151,50.9941565858237,"(50.9941565858237, -114.039173086151)",1
Bonaventure Drive at 94 Avenue SE,Single vehicle incident.,12/14/2016 09:30:47 AM,12/14/2016 09:41:42 AM,SE,-114.068768219264,50.9686342652326,"(50.9686342652326, -114.068768219264)",1
63 Street at 114 Avenue SE,2 vehicle incident.,12/14/2016 08:33:50 AM,12/14/2016 08:35:15 AM,SE,-113.943647607491,50.9506009513294,"(50.9506009513294, -113.943647607491)",1
Eastbound Anderson Road at Bonaventure Drive SE,2 vehicle incident.,12/14/2016 08:30:02 AM,12/14/2016 08:35:15 AM,SE,-114.062039329389,50.949783226261,"(50.949783226261, -114.062039329389)",1
52 Street at 114 Avenue SE,2 vehicle incident.,12/14/2016 08:07:38 AM,12/14/2016 08:25:10 AM,SE,-113.958670847449,50.950595366959,"(50.950595366959, -113.958670847449)",1
Eastbound Canyon Meadows Drive at Macleod Trail SE,2 vehicle incident.,12/14/2016 07:54:57 AM,12/14/2016 07:55:52 AM,SE,-114.069887062744,50.9315770426822,"(50.9315770426822, -114.069887062744)",1
Southbound Deerfoot Trail at Beddington Trail NE,2 vehicle incident.,12/14/2016 07:45:46 AM,12/14/2016 07:55:52 AM,NE,-114.046154501425,51.1221655702783,"(51.1221655702783, -114.046154501425)",1
Southbound Metis Trail at 128 Avenue NE,Multi vehicle incident.,12/14/2016 07:44:29 AM,12/14/2016 07:55:52 AM,NE,-113.97154991399,51.1654465164696,"(51.1654465164696, -113.97154991399)",1
Northbound Deerfoot Trail at McKnight Boulevard NE,2 vehicle incident.,12/14/2016 07:42:59 AM,12/14/2016 07:55:52 AM,NE,-114.043405712882,51.0997221207095,"(51.0997221207095, -114.043405712882)",1
